,index
10,"['3072841', '3073021', '3073596', '3073607', '3074651', '3074676', '3075600', '3075735', '3075951', '3076010', '3076105', '3076220', '3076443', '3076548', '3076569', '3076575', '3076581', '3076719', '3077266', '3077346', '3077412', '3077437', '3077700', '3077803', '3078120', '3078129', '3078364', '3078592', '3078814', '3078879', '3078922', '3079071', '3079160', '3079378', '3079857', '3079927', '3080046', '3080060', '3080070', '3080080', '3080204', '3080229', '3080248', '3080342', '3080682', '3080829', '3081292', '3081312', '3081313', '3081497', '3081511', '3081562', '3081608', '3081617', '3081662', '3081693', '3081769', '3081791', '3081806', '3081821', '3081826', '3081839', '3081853', '3081893']"
11,"['3081907', '3081964', '3082346', '3082749', '3082797', '3083043', '3083060', '3083148', '3083180', '3083188', '3083212', '3083350', '3083424', '3084161', '3084185', '3084264', '3084279', '3084304', '3084986', '3084996', '3085181', '3085183', '3085361', '3085420', '3085625', '3085985', '3086460', '3086577', '3086781', '3086862', '3087047', '3087330', '3087503', '3087596', '3087843', '3088099', '3088379', '3088390', '3088510', '3088614', '3088725', '3088776', '3088885', '3088998', '3089109', '3089155', '3089245', '3089561', '3089640', '3090272', '3090460', '3090512', '3090738', '3090748', '3090753', '3090994', '3091110', '3091153', '3091164', '3091205', '3091292', '3091311', '3091444', '3091567']"
12,"['3091666', '3092019', '3092024', '3092121', '3092127', '3092153', '3092245', '3092270', '3092281', '3092681', '3093096', '3093324', '3093331', '3093880', '3093882', '3094474', '3094625', '3094681', '3094931', '3094996', '3095174', '3095306', '3095648', '3095931', '3095943', '3096034', '3096043', '3096174', '3096218', '3096266', '3096294', '3096308', '3096357', '3096379', '3096395', '3096424', '3096506', '3096693', '3096722', '3096739', '3096749', '3096817', '3096856', '3096883', '3096933', '3097012', '3097388', '3097405', '3097609', '3097620', '3097669', '3097690', '3097700', '3097707', '3097718', '3098344', '3098427', '3098433', '3098674', '3098717', '3098746', '3098846', '3098917', '3099057']"
13,"['3099129', '3099268', '3099460', '3099489', '3099515', '3099533', '3099556', '3099683', '3099949', '3100205', '3100277', '3100287', '3100311', '3100316', '3100500', '3100592', '3100613', '3100628', '3100666', '3100708', '3100821', '3100909', '3100980', '3101033', '3101048', '3101272', '3101285', '3101293', '3101353', '3101573', '3101576', '3101593', '3101676', '3101691', '3101701', '3101916', '3102145', '3102173', '3102405', '3102451', '3102468', '3102511', '3102512', '3102525', '3102559', '3102601', '3102763', '3102775', '3102808', '3102859', '3102974', '3103070', '3103109', '3103201', '3103214', '3103248', '3103330', '3103380', '3103405', '3103495', '3104246', '3104500', '3104648', '3104768']"
14,"['3104776', '3104802', '3105267', '3105425', '3106040', '3106067', '3106078', '3106132', '3106154', '3106198', '3106236', '3106423', '3106479', '3106497', '3106633', '3107030', '3107371', '3107836', '3108293', '3108320', '3108329', '3108370', '3108397', '3108469', '3108532', '3108554', '3108644', '3108680', '3109329', '3109341', '3109363', '3109965', '3110247', '3110432', '3110454', '3110470', '3110475', '3110525', '3110570', '3111269', '3111320', '3111336', '3111511', '3111693', '3111772', '3111812', '3111959', '3112169', '3112184', '3112195', '3112213', '3112383', '3112421', '3112469', '3112559', '3112565', '3112741', '3112982', '3112996', '3113183', '3113197', '3113271', '3113303', '3113304']"
15,"['3113309', '3113519', '3113614', '3113808', '3113870', '3113995', '3114091', '3114114', '3114131', '3114144', '3114225', '3114330', '3114355', '3114755', '3114816', '3114836', '3114871', '3114889', '3114905', '3114944', '3114951', '3114976', '3115018', '3115035', '3115724', '3115786', '3116038', '3116171', '3116472', '3116518', '3116671', '3116952', '3116961', '3117116', '3117150', '3117156', '3117159', '3117681', '3117731', '3117740', '3117833', '3117853', '3117858', '3117877', '3117931', '3117957', '3118006', '3118087', '3118095', '3118106', '3118247', '3118311', '3118411', '3118451', '3118462', '3118515', '3118621', '3118654', '3118676', '3118995', '3119141', '3119160', '3119356', '3119417']"
16,"['3119477', '3119484', '3119490', '3119511', '3119519', '3119541', '3120138', '3120201', '3120241', '3120422', '3120438', '3120457', '3120467', '3120771', '3120864', '3120917', '3121118', '3121159', '3121522', '3121566', '3121610', '3121643', '3121645', '3122238', '3122271', '3122622', '3123217', '3123666', '3124114', '3124262', '3124330', '3124529', '3124860', '3124868', '3124923', '3125414', '3125430', '3125432', '3125482', '3125491', '3125561', '3125672', '3125732', '3125740', '3125756', '3126154', '3126202', '3126224', '3126232', '3126352', '3126569', '3126574', '3126959', '3126981', '3127054', '3127062', '3127266', '3127431', '3127456', '3127462', '3127486', '3127493', '3127837', '3127933']"
17,"['3128064', '3128754', '3128755', '3128912', '3128953', '3129455', '3129512', '3130107', '3130207', '3130208', '3130262', '3130268', '3130271', '3130566', '3131754', '3131881', '3131899', '3131969', '3131995', '3132030', '3132077', '3132398', '3132965', '3133032', '3133117', '3133126', '3133153', '3133697', '3133958', '3134015', '3134024', '3134027', '3134054', '3134139', '3134162', '3134327', '3134362', '3134416', '3134450', '3134565', '3134709', '3134728', '3134796', '3134826', '3134850', '3134874', '3134890', '3134992', '3135016', '3135257', '3135465', '3135498', '3135579', '3135587', '3135633', '3135641', '3135668', '3135692', '3136067', '3136083', '3136132', '3136137', '3136203', '3136404']"
18,"['3136417', '3136538', '3136561', '3136650', '3137138', '3137161', '3137164', '3137289', '3137297', '3137341', '3137352', '3137855', '3138116', '3138150', '3138243', '3138333', '3138348', '3138389', '3138397', '3138663', '3138714', '3139134', '3139207', '3139396', '3139684', '3139911', '3140228', '3140556', '3141155', '3141322', '3141329', '3141800', '3142389', '3142426', '3142487', '3142568', '3142588', '3142601', '3142847', '3143043', '3143183', '3143809', '3144677', '3144800', '3144876', '3144891', '3145051', '3145062', '3145294', '3145636', '3145854', '3145952', '3145969', '3146373', '3146595', '3146719', '3146914', '3146978', '3147068', '3147171', '3147244', '3147251', '3147384', '3147417']"
19,"['3147430', '3147445', '3147657', '3147694', '3147735', '3147753', '3147767', '3148324', '3148586', '3148597', '3148627', '3148744', '3148968', '3148976', '3149138', '3149341', '3149386', '3149541', '3149646', '3150197', '3150399', '3150429', '3150506', '3150589', '3150727', '3150770', '3150782', '3150847', '3151113', '3151199', '3151295', '3151392', '3151412', '3151903', '3151949', '3151999', '3152031', '3152036', '3152130', '3152270', '3152304', '3152311', '3152345', '3152354', '3152370', '3152378', '3152509', '3152524', '3152539', '3152670', '3152682', '3152974', '3153024', '3153091', '3153108', '3153109', '3153142', '3153193', '3153398', '3153520', '3153700', '3153707', '3153776', '3153874']"
20,"['3153888', '3153981', '3154130', '3154277', '3154324', '3154672', '3154799', '3155109', '3155212', '3155282', '3155314', '3155471', '3155787', '3155831', '3155837', '3155843', '3155874', '3156080', '3156128', '3156197', '3156224', '3156268', '3156290', '3156330', '3156384', '3156414', '3156436', '3156446', '3156504', '3156557', '3156563', '3156744', '3156803', '3156826', '3156856', '3156862', '3156863', '3156867', '3156892', '3156915', '3156926', '3157002', '3157025', '3157074', '3157256', '3157286', '3157606', '3157651', '3157693', '3157698', '3157714', '3157749', '3157764', '3157930', '3157947', '3158119', '3158320', '3158452', '3158483', '3158484', '3158613', '3158631', '3158849', '3158939']"
21,"['3158987', '3159309', '3159469', '3159505', '3159740', '3160176', '3160191', '3160209', '3160333', '3160435', '3160710', '3160738', '3160997', '3161214', '3161276', '3161425', '3162160', '3162817', '3162905', '3162915', '3163006', '3163029', '3163183', '3163202', '3163526', '3163648', '3163653', '3163673', '3163691', '3164076', '3164105', '3164111', '3164116', '3164166', '3164172', '3164225', '3164256', '3164324', '3164507', '3164529', '3164538', '3164644', '3164849', '3165099', '3165114', '3165146', '3165263', '3165312', '3165565', '3165635', '3165665', '3165694', '3165824', '3165829', '3165841', '3165847', '3165856', '3166192', '3166227', '3166349', '3166359', '3166551', '3166957', '3167001']"
22,"['3167022', '3167073', '3167094', '3167288', '3167300', '3167329', '3167343', '3167371', '3167416', '3167516', '3167592', '3167934', '3167950', '3167975', '3168217', '3168372', '3168423', '3168446', '3168892', '3168901', '3168941', '3168995', '3169014', '3169772', '3169990', '3170124', '3170174', '3170183', '3170224', '3170270', '3170404', '3170531', '3170618', '3170639', '3170772', '3171098', '3171120', '3171196', '3172145', '3172189', '3172266', '3172290', '3172456', '3172505', '3172736', '3172835', '3172869', '3172888', '3172895', '3173160', '3173315', '3173367', '3173526', '3173723', '3173780', '3173869', '3173989', '3174052', '3174439', '3174715', '3174755', '3174809', '3174841', '3175305']"
23,"['3175306', '3175647', '3176133', '3176181', '3176470', '3176527', '3176618', '3176638', '3176658', '3176702', '3176816', '3176823', '3177133', '3177179', '3177210', '3177222', '3177234', '3177242', '3177266', '3177339', '3177358', '3177373', '3177376', '3177379', '3177455', '3177598', '3177634', '3177743', '3177750', '3177845', '3177869', '3177922', '3177928', '3178182', '3178427', '3178991', '3179202', '3179388', '3179421', '3179736', '3179772', '3179936', '3180161', '3180466', '3180593', '3180694', '3180962', '3181359', '3182291', '3182452', '3182516', '3182658', '3182763', '3182876', '3183125', '3183237', '3183683', '3184415', '3184885', '3184930', '3184944', '3185003', '3185181', '3185532']"
